category,method,depth,opportunities,accepted,conditional_acceptance,cumulative_survival
multi-turn conversation,adapld,1,865,306,0.3538,0.3538
multi-turn conversation,adapld,2,306,218,0.7124,0.2520
multi-turn conversation,adapld,3,218,191,0.8761,0.2208
multi-turn conversation,adapld,4,166,146,0.8795,0.1942
multi-turn conversation,anpd,1,927,350,0.3776,0.3776
multi-turn conversation,anpd,2,236,194,0.8220,0.3104
multi-turn conversation,anpd,3,158,152,0.9620,0.2986
multi-turn conversation,anpd,4,112,112,1.0000,0.2986
multi-turn conversation,asam,1,553,277,0.5009,0.5009
multi-turn conversation,asam,2,220,184,0.8364,0.4189
multi-turn conversation,asam,3,148,144,0.9730,0.4076
multi-turn conversation,asam,4,110,109,0.9909,0.4039
multi-turn conversation,asam_verify,1,767,486,0.6336,0.6336
multi-turn conversation,asd,1,553,277,0.5009,0.5009
multi-turn conversation,asd,2,220,184,0.8364,0.4189
multi-turn conversation,asd,3,148,144,0.9730,0.4076
multi-turn conversation,asd,4,110,109,0.9909,0.4039
multi-turn conversation,asd_verify,1,767,486,0.6336,0.6336
multi-turn conversation,cacheback,1,176,155,0.8807,0.8807
multi-turn conversation,cacheback,2,155,145,0.9355,0.8239
multi-turn conversation,cacheback,3,145,143,0.9862,0.8125
multi-turn conversation,cacheback,4,143,138,0.9650,0.7841
multi-turn conversation,copyspec,1,242,191,0.7893,0.7893
multi-turn conversation,copyspec,2,191,169,0.8848,0.6983
multi-turn conversation,copyspec,3,169,154,0.9112,0.6364
multi-turn conversation,copyspec,4,152,149,0.9803,0.6238
multi-turn conversation,logit_spec,1,1087,328,0.3017,0.3017
multi-turn conversation,logit_spec,2,301,197,0.6545,0.1975
multi-turn conversation,logit_spec,3,197,171,0.8680,0.1714
multi-turn conversation,logit_spec,4,146,133,0.9110,0.1562
multi-turn conversation,lookahead,1,865,306,0.3538,0.3538
multi-turn conversation,lookahead,2,306,218,0.7124,0.2520
multi-turn conversation,lookahead,3,218,191,0.8761,0.2208
multi-turn conversation,lookahead,4,166,146,0.8795,0.1942
multi-turn conversation,ngram_trie,1,678,143,0.2109,0.2109
multi-turn conversation,ngram_trie,2,142,85,0.5986,0.1263
multi-turn conversation,ngram_trie,3,85,62,0.7294,0.0921
multi-turn conversation,ngram_trie,4,56,45,0.8036,0.0740
multi-turn conversation,pld,1,864,306,0.3542,0.3542
multi-turn conversation,pld,2,306,218,0.7124,0.2523
multi-turn conversation,pld,3,218,192,0.8807,0.2222
multi-turn conversation,pld,4,167,146,0.8743,0.1943
multi-turn conversation,pld_plus,1,865,306,0.3538,0.3538
multi-turn conversation,pld_plus,2,306,218,0.7124,0.2520
multi-turn conversation,pld_plus,3,218,191,0.8761,0.2208
multi-turn conversation,pld_plus,4,166,146,0.8795,0.1942
multi-turn conversation,pld_recycle,1,1114,340,0.3052,0.3052
multi-turn conversation,pld_recycle,2,335,218,0.6507,0.1986
multi-turn conversation,pld_recycle,3,217,190,0.8756,0.1739
multi-turn conversation,pld_recycle,4,165,146,0.8848,0.1539
multi-turn conversation,rest,1,354,42,0.1186,0.1186
multi-turn conversation,rest,2,42,6,0.1429,0.0169
multi-turn conversation,rest,3,6,4,0.6667,0.0113
multi-turn conversation,rest,4,4,3,0.7500,0.0085
multi-turn conversation,sam_decoding,1,534,263,0.4925,0.4925
multi-turn conversation,sam_decoding,2,263,199,0.7567,0.3727
multi-turn conversation,sam_decoding,3,159,152,0.9560,0.3563
multi-turn conversation,sam_decoding,4,122,121,0.9918,0.3533
multi-turn conversation,stand,1,1164,337,0.2895,0.2895
multi-turn conversation,stand,2,189,144,0.7619,0.2206
multi-turn conversation,stand,3,122,119,0.9754,0.2152
multi-turn conversation,stand,4,107,106,0.9907,0.2132
multi-turn conversation,suffix_decoding,1,534,263,0.4925,0.4925
multi-turn conversation,suffix_decoding,2,263,199,0.7567,0.3727
multi-turn conversation,suffix_decoding,3,159,152,0.9560,0.3563
multi-turn conversation,suffix_decoding,4,122,121,0.9918,0.3533
multi-turn conversation,suffix_recycle,1,1083,362,0.3343,0.3343
multi-turn conversation,suffix_recycle,2,346,224,0.6474,0.2164
multi-turn conversation,suffix_recycle,3,192,164,0.8542,0.1848
multi-turn conversation,suffix_recycle,4,135,131,0.9704,0.1794
multi-turn conversation,suffix_recycle_merge,1,1083,362,0.3343,0.3343
multi-turn conversation,suffix_recycle_merge,2,346,224,0.6474,0.2164
multi-turn conversation,suffix_recycle_merge,3,192,164,0.8542,0.1848
multi-turn conversation,suffix_recycle_merge,4,135,131,0.9704,0.1794
multi-turn conversation,suffix_recycle_tail,1,1100,360,0.3273,0.3273
multi-turn conversation,suffix_recycle_tail,2,345,220,0.6377,0.2087
multi-turn conversation,suffix_recycle_tail,3,206,168,0.8155,0.1702
multi-turn conversation,suffix_recycle_tail,4,141,130,0.9220,0.1569
multi-turn conversation,token_recycling,1,1127,354,0.3141,0.3141
multi-turn conversation,token_recycling,2,335,186,0.5552,0.1744
multi-turn conversation,token_recycling,3,149,110,0.7383,0.1288
multi-turn conversation,token_recycling,4,102,93,0.9118,0.1174
