title,category,method,tok_s,tok_s_std,tok_s_repeat_std,speedup_batch,speedup_prompt,speedup_prompt_std,accept_len,accept_len_std,accept_pct,accept_pct_std,draft_per_output,draft_per_output_std,verified_per_output,verified_per_output_std,ms_per_output,ms_per_output_std,ms_per_output_repeat_std,root_top1,root_top1_std,root_top5,root_top5_std,model_load_ms,model_load_ms_std,prepare_ms,prepare_ms_std,prefill_ms,prefill_ms_std,draft_setup_ms,draft_setup_ms_std,draft_ms,draft_ms_std,verify_ms,verify_ms_std,learn_ms,learn_ms_std,overhead_ms,overhead_ms_std,match
specbench / int4_genai (n=20),multi-turn conversation,baseline,138.4849,5.5178,0.0000,1.0000,,,1.0000,0.0000,,,0.0000,0.0000,1.0000,0.0000,7.2325,0.2964,0.0000,,,,,15932.23,0.00,0.65,0.18,11.85,3.88,0.00,0.00,0.00,0.00,2.81,0.13,0.00,0.00,4.42,0.18,
specbench / int4_genai (n=20),multi-turn conversation,pld,128.2918,19.3450,0.0000,0.9136,0.9270,0.1386,1.3538,0.2878,0.1484,0.0829,1.6701,0.2019,2.4301,0.2365,7.9163,0.8623,0.0000,0.2706,0.1036,0.4403,0.1011,15932.23,0.00,0.65,0.18,12.23,4.97,0.00,0.00,0.06,0.02,4.83,0.48,0.00,0.00,5.62,0.46,0.9129
specbench / int4_genai (n=20),multi-turn conversation,copyspec,145.3993,19.5962,0.0000,1.0390,1.0504,0.1388,1.1624,0.2438,0.3453,0.1671,0.3359,0.1638,1.2162,0.1201,6.9609,0.6562,0.0000,0.5253,0.1807,0.7140,0.1586,15932.23,0.00,0.65,0.18,11.91,4.06,0.02,0.02,0.06,0.02,3.19,0.34,0.00,0.00,4.72,0.34,0.9174
specbench / int4_genai (n=20),multi-turn conversation,pld_plus,128.7194,19.2731,0.0000,0.9170,0.9305,0.1409,1.3535,0.2880,0.1483,0.0830,1.6709,0.2019,2.4311,0.2368,7.8871,0.8423,0.0000,0.2701,0.1039,0.4401,0.1012,15932.23,0.00,0.65,0.18,11.72,3.70,0.00,0.00,0.05,0.02,4.82,0.49,0.00,0.00,5.60,0.43,0.9129
specbench / int4_genai (n=20),multi-turn conversation,adapld,93.3046,13.8137,0.0000,0.6647,0.6741,0.0986,1.3535,0.2880,0.1483,0.0830,1.6709,0.2019,2.4311,0.2368,10.8810,1.1743,0.0000,0.2701,0.1039,0.4401,0.1012,15932.23,0.00,0.65,0.18,11.66,3.61,0.00,0.00,0.06,0.02,4.90,0.49,3.82,0.72,5.69,0.47,0.9129
specbench / int4_genai (n=20),multi-turn conversation,anpd,122.3547,17.7812,0.0000,0.8731,0.8844,0.1292,1.2872,0.2678,0.2770,0.1035,0.7023,0.1214,1.4996,0.0636,8.2840,0.8165,0.0000,0.2901,0.1095,0.4642,0.1041,15932.23,0.00,0.65,0.18,11.88,3.85,0.00,0.00,0.04,0.01,4.82,0.48,0.00,0.00,5.62,0.42,0.9389
specbench / int4_genai (n=20),multi-turn conversation,cacheback,141.8561,8.8678,0.0000,1.0222,1.0249,0.0610,1.0943,0.0829,0.3084,0.1554,0.2641,0.0917,1.1822,0.0683,7.0755,0.4302,0.0000,0.6154,0.1927,0.8213,0.1362,15932.23,0.00,0.65,0.18,11.79,3.82,0.00,0.00,0.02,0.01,3.07,0.21,0.01,0.00,4.63,0.23,0.8973
specbench / int4_genai (n=20),multi-turn conversation,lookahead,128.4260,19.4613,0.0000,0.9144,0.9286,0.1434,1.3535,0.2880,0.1483,0.0830,1.6709,0.2019,2.4311,0.2368,7.9092,0.8647,0.0000,0.2701,0.1039,0.4401,0.1012,15932.23,0.00,0.65,0.18,11.65,3.63,0.00,0.00,0.05,0.02,4.83,0.47,0.00,0.00,5.61,0.38,0.9129
specbench / int4_genai (n=20),multi-turn conversation,logit_spec,86.1114,6.8564,0.0000,0.6191,0.6223,0.0490,1.3462,0.1464,0.1444,0.0421,1.7387,0.2130,2.4896,0.1954,11.6830,0.9070,0.0000,0.2682,0.0540,0.4455,0.0767,15932.23,0.00,0.65,0.18,11.65,3.60,0.13,0.03,0.04,0.01,5.61,0.47,3.92,0.70,6.09,0.41,0.9221
specbench / int4_genai (n=20),multi-turn conversation,ngram_trie,130.3500,20.1714,0.0000,0.9279,0.9420,0.1454,1.3004,0.3007,0.1458,0.0882,1.4531,0.3478,2.2463,0.3323,7.7948,0.8562,0.0000,0.2599,0.1113,0.3879,0.1287,15932.23,0.00,0.65,0.18,13.07,9.07,8.63,36.41,0.01,0.00,4.51,0.65,0.00,0.00,5.43,0.54,0.9371
