category,method,depth,opportunities,accepted,conditional_acceptance,cumulative_survival
coding,adapld,1,844,469,0.5557,0.5557
coding,adapld,2,469,350,0.7463,0.4147
coding,adapld,3,350,281,0.8029,0.3329
coding,adapld,4,258,227,0.8798,0.2929
coding,anpd,1,946,541,0.5719,0.5719
coding,anpd,2,428,336,0.7850,0.4490
coding,anpd,3,258,228,0.8837,0.3967
coding,anpd,4,131,119,0.9084,0.3604
coding,asam,1,818,476,0.5819,0.5819
coding,asam,2,389,322,0.8278,0.4817
coding,asam,3,231,207,0.8961,0.4316
coding,asam,4,138,133,0.9638,0.4160
coding,asam_verify,1,1163,780,0.6707,0.6707
coding,asd,1,818,476,0.5819,0.5819
coding,asd,2,389,322,0.8278,0.4817
coding,asd,3,231,207,0.8961,0.4316
coding,asd,4,138,133,0.9638,0.4160
coding,asd_verify,1,1161,777,0.6693,0.6693
coding,asd_verify,2,2,2,1.0000,0.6693
coding,asd_verify,3,2,2,1.0000,0.6693
coding,asd_verify,4,1,1,1.0000,0.6693
coding,cacheback,1,254,204,0.8031,0.8031
coding,cacheback,2,204,169,0.8284,0.6654
coding,cacheback,3,169,150,0.8876,0.5906
coding,cacheback,4,150,137,0.9133,0.5394
coding,copyspec,1,439,335,0.7631,0.7631
coding,copyspec,2,335,274,0.8179,0.6241
coding,copyspec,3,274,239,0.8723,0.5444
coding,copyspec,4,238,224,0.9412,0.5124
coding,logit_spec,1,1056,427,0.4044,0.4044
coding,logit_spec,2,407,294,0.7224,0.2921
coding,logit_spec,3,294,234,0.7959,0.2325
coding,logit_spec,4,211,183,0.8673,0.2016
coding,lookahead,1,844,469,0.5557,0.5557
coding,lookahead,2,469,350,0.7463,0.4147
coding,lookahead,3,350,281,0.8029,0.3329
coding,lookahead,4,258,227,0.8798,0.2929
coding,ngram_trie,1,777,333,0.4286,0.4286
coding,ngram_trie,2,329,171,0.5198,0.2228
coding,ngram_trie,3,171,137,0.8012,0.1785
coding,ngram_trie,4,137,113,0.8248,0.1472
coding,pld,1,835,467,0.5593,0.5593
coding,pld,2,467,358,0.7666,0.4287
coding,pld,3,358,287,0.8017,0.3437
coding,pld,4,264,230,0.8712,0.2994
coding,pld_plus,1,844,469,0.5557,0.5557
coding,pld_plus,2,469,350,0.7463,0.4147
coding,pld_plus,3,350,281,0.8029,0.3329
coding,pld_plus,4,258,227,0.8798,0.2929
coding,pld_recycle,1,986,492,0.4990,0.4990
coding,pld_recycle,2,490,371,0.7571,0.3778
coding,pld_recycle,3,368,293,0.7962,0.3008
coding,pld_recycle,4,269,236,0.8773,0.2639
coding,rest,1,489,81,0.1656,0.1656
coding,rest,2,81,22,0.2716,0.0450
coding,rest,3,22,12,0.5455,0.0245
coding,rest,4,12,7,0.5833,0.0143
coding,sam_decoding,1,780,439,0.5628,0.5628
coding,sam_decoding,2,439,329,0.7494,0.4218
coding,sam_decoding,3,264,232,0.8788,0.3707
coding,sam_decoding,4,188,180,0.9574,0.3549
coding,stand,1,1287,518,0.4025,0.4025
coding,stand,2,303,208,0.6865,0.2763
coding,stand,3,111,86,0.7748,0.2141
coding,stand,4,42,36,0.8571,0.1835
coding,suffix_decoding,1,780,439,0.5628,0.5628
coding,suffix_decoding,2,439,329,0.7494,0.4218
coding,suffix_decoding,3,264,232,0.8788,0.3707
coding,suffix_decoding,4,188,180,0.9574,0.3549
coding,suffix_recycle,1,1016,504,0.4961,0.4961
coding,suffix_recycle,2,494,363,0.7348,0.3645
coding,suffix_recycle,3,322,260,0.8075,0.2943
coding,suffix_recycle,4,214,196,0.9159,0.2696
coding,suffix_recycle_merge,1,1016,504,0.4961,0.4961
coding,suffix_recycle_merge,2,494,363,0.7348,0.3645
coding,suffix_recycle_merge,3,322,260,0.8075,0.2943
coding,suffix_recycle_merge,4,214,196,0.9159,0.2696
coding,suffix_recycle_tail,1,1013,499,0.4926,0.4926
coding,suffix_recycle_tail,2,489,352,0.7198,0.3546
coding,suffix_recycle_tail,3,336,269,0.8006,0.2839
coding,suffix_recycle_tail,4,238,208,0.8739,0.2481
coding,token_recycling,1,1153,466,0.4042,0.4042
coding,token_recycling,2,440,282,0.6409,0.2590
coding,token_recycling,3,233,142,0.6094,0.1579
coding,token_recycling,4,122,85,0.6967,0.1100
