title,category,method,tok_s,tok_s_std,tok_s_repeat_std,speedup_batch,speedup_prompt,speedup_prompt_std,accept_len,accept_len_std,accept_pct,accept_pct_std,draft_per_output,draft_per_output_std,verified_per_output,verified_per_output_std,ms_per_output,ms_per_output_std,ms_per_output_repeat_std,root_top1,root_top1_std,root_top5,root_top5_std,model_load_ms,model_load_ms_std,prepare_ms,prepare_ms_std,prefill_ms,prefill_ms_std,draft_setup_ms,draft_setup_ms_std,draft_ms,draft_ms_std,verify_ms,verify_ms_std,learn_ms,learn_ms_std,overhead_ms,overhead_ms_std,match
speedbench / int4_genai (n=20),coding,baseline,247.5968,12.7811,0.0000,1.0000,,,1.0000,0.0000,,,0.0000,0.0000,1.0000,0.0000,4.0497,0.2223,0.0000,,,,,11407.36,0.00,0.35,0.14,7.02,2.20,0.00,0.00,0.00,0.00,1.63,0.08,0.00,0.00,2.42,0.16,
speedbench / int4_genai (n=20),coding,pld,334.4802,85.4614,0.0000,1.2754,1.3584,0.3663,2.2832,0.7781,0.4440,0.1920,1.2676,0.2789,1.7555,0.4060,3.1751,0.7960,0.0000,0.5833,0.1828,0.7529,0.1735,11407.36,0.00,0.35,0.14,7.37,3.11,0.00,0.00,0.05,0.02,3.59,0.50,0.00,0.00,3.07,0.29,0.9516
speedbench / int4_genai (n=20),coding,copyspec,355.3657,89.2076,0.0000,1.3555,1.4409,0.3715,1.9627,0.8365,0.5984,0.2512,0.6855,0.2402,1.2766,0.2209,2.9876,0.7690,0.0000,0.7771,0.2266,0.8881,0.1417,11407.36,0.00,0.35,0.14,7.01,2.14,0.01,0.01,0.05,0.02,2.59,0.66,0.00,0.00,2.69,0.25,0.9652
speedbench / int4_genai (n=20),coding,pld_plus,339.6149,75.8190,0.0000,1.3067,1.3776,0.3214,2.2392,0.6890,0.4302,0.1735,1.2816,0.2699,1.7730,0.3892,3.0993,0.7496,0.0000,0.5752,0.1695,0.7428,0.1650,11407.36,0.00,0.35,0.14,6.92,2.19,0.00,0.00,0.05,0.02,3.53,0.50,0.00,0.00,2.91,0.27,0.9516
speedbench / int4_genai (n=20),coding,adapld,271.7139,60.2807,0.0000,1.0460,1.1036,0.2636,2.2392,0.6890,0.4302,0.1735,1.2816,0.2699,1.7730,0.3892,3.8717,0.9318,0.0000,0.5752,0.1695,0.7428,0.1650,11407.36,0.00,0.35,0.14,7.08,2.29,0.00,0.00,0.05,0.02,3.56,0.50,1.59,0.26,2.91,0.22,0.9516
speedbench / int4_genai (n=20),coding,anpd,312.1060,81.5237,0.0000,1.1833,1.2662,0.3422,2.0850,0.6972,0.5478,0.1547,0.8543,0.1359,1.3855,0.1100,3.4224,0.9180,0.0000,0.5971,0.1718,0.7708,0.1553,11407.36,0.00,0.35,0.14,6.97,2.20,0.00,0.00,0.03,0.01,3.59,0.47,0.00,0.00,2.96,0.25,0.9516
speedbench / int4_genai (n=20),coding,cacheback,305.3720,56.4136,0.0000,1.2002,1.2389,0.2514,1.4205,0.3935,0.5660,0.2852,0.3969,0.2184,1.1484,0.0922,3.3742,0.5756,0.0000,0.7032,0.3030,0.8614,0.2609,11407.36,0.00,0.35,0.14,6.93,2.19,0.00,0.00,0.01,0.00,2.04,0.36,0.01,0.00,2.54,0.20,1.0000
speedbench / int4_genai (n=20),coding,lookahead,333.9702,81.4126,0.0000,1.2723,1.3563,0.3509,2.2392,0.6890,0.4302,0.1735,1.2816,0.2699,1.7730,0.3892,3.1830,0.8372,0.0000,0.5752,0.1695,0.7428,0.1650,11407.36,0.00,0.35,0.14,6.90,2.19,0.00,0.00,0.05,0.02,3.56,0.50,0.00,0.00,3.03,0.35,0.9516
speedbench / int4_genai (n=20),coding,logit_spec,230.8265,48.6566,0.0000,0.8970,0.9368,0.2117,1.8671,0.4484,0.3566,0.1524,1.3270,0.2571,1.8922,0.3510,4.5146,0.9280,0.0000,0.4241,0.1324,0.5824,0.1247,11407.36,0.00,0.35,0.14,7.00,2.15,0.07,0.03,0.03,0.01,3.64,0.34,1.44,0.19,2.95,0.23,0.9234
speedbench / int4_genai (n=20),coding,ngram_trie,273.9539,88.8221,0.0000,1.0369,1.1108,0.3633,1.6256,0.8205,0.2506,0.2084,1.2086,0.4164,1.9191,0.4469,3.9056,0.8754,0.0000,0.4175,0.2437,0.5543,0.2476,11407.36,0.00,0.35,0.14,6.92,2.20,12.02,39.38,0.01,0.00,2.95,0.69,0.00,0.00,2.77,0.26,0.9652
speedbench / int4_genai (n=20),coding,token_recycling,203.6949,34.0005,0.0000,0.8034,0.8274,0.1575,1.6483,0.3381,0.2824,0.1335,1.4484,0.2776,2.0785,0.3559,5.0410,0.8525,0.0000,0.4201,0.1370,0.5654,0.1343,11407.36,0.00,0.35,0.14,6.95,2.17,0.00,0.00,0.01,0.00,3.63,0.37,1.48,0.21,2.97,0.26,0.9652
speedbench / int4_genai (n=20),coding,suffix_recycle,265.4318,84.2426,0.0000,0.9754,1.0804,0.3591,2.2947,0.8647,0.4617,0.2366,1.2535,0.2930,1.7477,0.4565,4.1519,1.3636,0.0000,0.5570,0.2283,0.6907,0.1866,11407.36,0.00,0.35,0.14,6.99,2.20,0.00,0.00,0.05,0.02,3.87,0.35,1.58,0.22,3.03,0.25,0.9652
