category,method,depth,opportunities,accepted,conditional_acceptance,cumulative_survival
coding,adapld,1,1500,357,0.2380,0.2380
coding,adapld,2,357,162,0.4538,0.1080
coding,adapld,3,162,94,0.5802,0.0627
coding,adapld,4,94,60,0.6383,0.0400
coding,anpd,1,1623,433,0.2668,0.2668
coding,anpd,2,190,97,0.5105,0.1362
coding,anpd,3,29,19,0.6552,0.0892
coding,anpd,4,6,6,1.0000,0.0892
coding,asam,1,1157,475,0.4105,0.4105
coding,asam,2,278,168,0.6043,0.2481
coding,asam,3,84,67,0.7976,0.1979
coding,asam,4,55,43,0.7818,0.1547
coding,asam_verify,1,1328,578,0.4352,0.4352
coding,asd,1,1157,475,0.4105,0.4105
coding,asd,2,278,168,0.6043,0.2481
coding,asd,3,84,67,0.7976,0.1979
coding,asd,4,55,43,0.7818,0.1547
coding,asd_verify,1,1327,577,0.4348,0.4348
coding,asd_verify,2,6,2,0.3333,0.1449
coding,cacheback,1,241,126,0.5228,0.5228
coding,cacheback,2,126,78,0.6190,0.3237
coding,cacheback,3,78,47,0.6026,0.1950
coding,cacheback,4,47,31,0.6596,0.1286
coding,copyspec,1,263,132,0.5019,0.5019
coding,copyspec,2,132,86,0.6515,0.3270
coding,copyspec,3,86,62,0.7209,0.2357
coding,copyspec,4,62,38,0.6129,0.1445
coding,logit_spec,1,1958,534,0.2727,0.2727
coding,logit_spec,2,437,142,0.3249,0.0886
coding,logit_spec,3,142,80,0.5634,0.0499
coding,logit_spec,4,80,43,0.5375,0.0268
coding,lookahead,1,1500,357,0.2380,0.2380
coding,lookahead,2,357,162,0.4538,0.1080
coding,lookahead,3,162,94,0.5802,0.0627
coding,lookahead,4,94,60,0.6383,0.0400
coding,ngram_trie,1,1256,273,0.2174,0.2174
coding,ngram_trie,2,273,138,0.5055,0.1099
coding,ngram_trie,3,138,74,0.5362,0.0589
coding,ngram_trie,4,74,55,0.7432,0.0438
coding,pld,1,1495,356,0.2381,0.2381
coding,pld,2,356,165,0.4635,0.1104
coding,pld,3,165,96,0.5818,0.0642
coding,pld,4,96,61,0.6354,0.0408
coding,pld_plus,1,1500,357,0.2380,0.2380
coding,pld_plus,2,357,162,0.4538,0.1080
coding,pld_plus,3,162,94,0.5802,0.0627
coding,pld_plus,4,94,60,0.6383,0.0400
coding,pld_recycle,1,1948,535,0.2746,0.2746
coding,pld_recycle,2,532,229,0.4305,0.1182
coding,pld_recycle,3,229,119,0.5197,0.0614
coding,pld_recycle,4,118,65,0.5508,0.0338
coding,rest,1,744,250,0.3360,0.3360
coding,rest,2,248,116,0.4677,0.1572
coding,rest,3,116,56,0.4828,0.0759
coding,rest,4,56,38,0.6786,0.0515
coding,sam_decoding,1,1095,445,0.4064,0.4064
coding,sam_decoding,2,444,224,0.5045,0.2050
coding,sam_decoding,3,126,90,0.7143,0.1464
coding,sam_decoding,4,76,58,0.7632,0.1118
coding,stand,1,2068,509,0.2461,0.2461
coding,stand,2,177,66,0.3729,0.0918
coding,stand,3,15,7,0.4667,0.0428
coding,stand,4,1,0,0.0000,0.0000
coding,suffix_decoding,1,1095,445,0.4064,0.4064
coding,suffix_decoding,2,444,224,0.5045,0.2050
coding,suffix_decoding,3,126,90,0.7143,0.1464
coding,suffix_decoding,4,76,58,0.7632,0.1118
coding,suffix_recycle,1,1799,581,0.3230,0.3230
coding,suffix_recycle,2,568,272,0.4789,0.1547
coding,suffix_recycle,3,193,119,0.6166,0.0954
coding,suffix_recycle,4,97,68,0.7010,0.0668
coding,suffix_recycle_merge,1,1799,581,0.3230,0.3230
coding,suffix_recycle_merge,2,568,272,0.4789,0.1547
coding,suffix_recycle_merge,3,193,119,0.6166,0.0954
coding,suffix_recycle_merge,4,97,68,0.7010,0.0668
coding,suffix_recycle_tail,1,1781,599,0.3363,0.3363
coding,suffix_recycle_tail,2,585,276,0.4718,0.1587
coding,suffix_recycle_tail,3,256,135,0.5273,0.0837
coding,suffix_recycle_tail,4,127,72,0.5669,0.0474
coding,token_recycling,1,1995,543,0.2722,0.2722
coding,token_recycling,2,490,156,0.3184,0.0867
coding,token_recycling,3,139,52,0.3741,0.0324
coding,token_recycling,4,47,15,0.3191,0.0103
