title,category,method,tok_s,tok_s_std,tok_s_repeat_std,speedup_batch,speedup_prompt,speedup_prompt_std,accept_len,accept_len_std,accept_pct,accept_pct_std,draft_per_output,draft_per_output_std,verified_per_output,verified_per_output_std,ms_per_output,ms_per_output_std,ms_per_output_repeat_std,root_top1,root_top1_std,root_top5,root_top5_std,model_load_ms,model_load_ms_std,prepare_ms,prepare_ms_std,prefill_ms,prefill_ms_std,draft_setup_ms,draft_setup_ms_std,draft_ms,draft_ms_std,verify_ms,verify_ms_std,learn_ms,learn_ms_std,overhead_ms,overhead_ms_std,match
speedbench / int4_genai (n=20),coding,baseline,137.3035,5.7352,0.0000,1.0000,,,1.0000,0.0000,,,0.0000,0.0000,1.0000,0.0000,7.2962,0.3261,0.0000,,,,,16904.16,0.00,0.67,0.23,12.72,4.27,0.00,0.00,0.00,0.00,2.85,0.13,0.00,0.00,4.44,0.22,
speedbench / int4_genai (n=20),coding,pld,118.5520,16.9983,0.0000,0.8484,0.8625,0.1135,1.2823,0.1727,0.1219,0.0713,1.8350,0.2827,2.6266,0.3276,8.5997,1.2266,0.0000,0.2456,0.0989,0.4338,0.1178,16904.16,0.00,0.67,0.23,13.98,8.80,0.00,0.00,0.07,0.03,4.97,0.47,0.00,0.00,5.85,0.73,0.8956
speedbench / int4_genai (n=20),coding,copyspec,142.0559,9.2296,0.0000,1.0326,1.0357,0.0697,1.1156,0.1160,0.2908,0.1603,0.3287,0.1745,1.2331,0.1267,7.0656,0.4212,0.0000,0.4998,0.2007,0.7253,0.1945,16904.16,0.00,0.67,0.23,12.67,4.22,0.02,0.01,0.07,0.03,3.16,0.28,0.00,0.00,4.62,0.23,0.8934
speedbench / int4_genai (n=20),coding,pld_plus,119.3847,13.4273,0.0000,0.8611,0.8695,0.0918,1.2787,0.1666,0.1198,0.0665,1.8413,0.2776,2.6344,0.3192,8.4728,0.9024,0.0000,0.2448,0.0964,0.4325,0.1167,16904.16,0.00,0.67,0.23,12.64,4.23,0.00,0.00,0.06,0.02,4.94,0.40,0.00,0.00,5.72,0.36,0.8956
speedbench / int4_genai (n=20),coding,adapld,84.1773,11.1686,0.0000,0.6046,0.6130,0.0772,1.2787,0.1666,0.1198,0.0665,1.8413,0.2776,2.6344,0.3192,12.0688,1.5056,0.0000,0.2448,0.0964,0.4325,0.1167,16904.16,0.00,0.67,0.23,12.63,4.24,0.00,0.00,0.07,0.03,5.04,0.45,4.37,0.67,5.79,0.42,0.8956
speedbench / int4_genai (n=20),coding,anpd,113.0044,10.3111,0.0000,0.8179,0.8235,0.0731,1.2131,0.1237,0.2373,0.0751,0.7147,0.0987,1.5462,0.0653,8.9207,0.8222,0.0000,0.2721,0.1054,0.4609,0.1218,16904.16,0.00,0.67,0.23,12.89,4.32,0.00,0.00,0.05,0.02,4.94,0.44,0.00,0.00,5.77,0.45,0.8956
speedbench / int4_genai (n=20),coding,cacheback,140.4229,5.4547,0.0000,1.0231,1.0239,0.0473,1.0949,0.0517,0.2917,0.1038,0.3013,0.1325,1.2166,0.0979,7.1318,0.2796,0.0000,0.5134,0.1659,0.8093,0.1072,16904.16,0.00,0.67,0.23,12.83,4.42,0.00,0.00,0.02,0.01,3.13,0.25,0.01,0.00,4.65,0.24,0.8831
speedbench / int4_genai (n=20),coding,lookahead,120.4839,14.6930,0.0000,0.8678,0.8779,0.1044,1.2787,0.1666,0.1198,0.0665,1.8413,0.2776,2.6344,0.3192,8.4072,0.9229,0.0000,0.2448,0.0964,0.4325,0.1167,16904.16,0.00,0.67,0.23,12.67,4.26,0.00,0.00,0.06,0.02,4.91,0.42,0.00,0.00,5.66,0.38,0.8956
speedbench / int4_genai (n=20),coding,logit_spec,81.9622,7.1679,0.0000,0.5937,0.5972,0.0484,1.3331,0.1075,0.1367,0.0327,1.8344,0.2670,2.5891,0.2508,12.2900,1.0676,0.0000,0.2725,0.0387,0.4675,0.0564,16904.16,0.00,0.67,0.23,12.64,4.22,0.13,0.04,0.05,0.02,5.73,0.50,4.41,0.75,6.16,0.42,0.9328
speedbench / int4_genai (n=20),coding,ngram_trie,120.8692,14.9387,0.0000,0.8702,0.8803,0.1015,1.2192,0.1665,0.1110,0.0660,1.5681,0.4277,2.4009,0.4145,8.3840,0.9443,0.0000,0.2201,0.0885,0.3780,0.0955,16904.16,0.00,0.67,0.23,13.01,4.33,20.30,59.65,0.01,0.00,4.58,0.59,0.00,0.00,5.53,0.41,0.9178
speedbench / int4_genai (n=20),coding,token_recycling,77.7055,6.8030,0.0000,0.5631,0.5664,0.0496,1.3117,0.0911,0.1174,0.0287,2.0709,0.3459,2.8369,0.3336,12.9564,1.0455,0.0000,0.2731,0.0528,0.4539,0.0619,16904.16,0.00,0.67,0.23,12.66,4.20,0.00,0.00,0.01,0.00,5.85,0.50,4.85,0.70,6.27,0.39,0.8266
speedbench / int4_genai (n=20),coding,suffix_recycle,87.8793,9.3967,0.0000,0.6349,0.6403,0.0647,1.4903,0.1800,0.1944,0.0551,1.6966,0.2238,2.3759,0.2328,11.4916,1.1052,0.0000,0.3280,0.0705,0.5124,0.0767,16904.16,0.00,0.67,0.23,13.05,4.29,0.00,0.00,0.06,0.01,6.05,0.49,4.52,0.67,6.37,0.43,0.8650
speedbench / int4_genai (n=20),coding,suffix_recycle_merge,87.4584,9.3850,0.0000,0.6317,0.6371,0.0642,1.4903,0.1800,0.1944,0.0551,1.6966,0.2238,2.3759,0.2328,11.5506,1.1420,0.0000,0.3280,0.0705,0.5124,0.0767,16904.16,0.00,0.67,0.23,13.11,4.23,0.00,0.00,0.05,0.01,6.09,0.51,4.54,0.68,6.40,0.47,0.8650
speedbench / int4_genai (n=20),coding,suffix_recycle_tail,85.5403,9.4016,0.0000,0.6175,0.6233,0.0662,1.5139,0.1634,0.1724,0.0437,1.9944,0.3039,2.6619,0.2982,11.8165,1.2144,0.0000,0.3397,0.0583,0.5265,0.0719,16904.16,0.00,0.67,0.23,13.16,4.31,0.00,0.00,0.06,0.01,6.15,0.49,5.16,0.75,6.41,0.44,0.8734
speedbench / int4_genai (n=20),coding,pld_recycle,79.5203,10.5993,0.0000,0.5712,0.5791,0.0727,1.4337,0.1913,0.1327,0.0518,2.3078,0.3107,3.0156,0.3510,12.7726,1.5611,0.0000,0.2801,0.0782,0.4555,0.0802,16904.16,0.00,0.67,0.23,13.63,5.67,0.00,0.00,0.09,0.03,6.22,0.43,5.45,0.65,6.33,0.35,0.8591
speedbench / int4_genai (n=20),coding,rest,131.1706,10.5609,0.0000,0.9506,0.9564,0.0801,1.1750,0.1035,0.1615,0.0546,0.9150,0.3963,1.7722,0.3536,7.6756,0.6782,0.0000,0.3448,0.1050,0.5469,0.0925,16904.16,0.00,0.67,0.23,13.14,4.29,0.58,0.19,0.01,0.00,3.92,0.47,0.00,0.00,5.06,0.44,0.8506
speedbench / int4_genai (n=20),coding,suffix_decoding,135.2455,12.0503,0.0000,0.9805,0.9857,0.0859,1.3517,0.1528,0.2977,0.0713,0.8731,0.2315,1.6213,0.1870,7.4416,0.5622,0.0000,0.4140,0.0943,0.6148,0.0925,16904.16,0.00,0.67,0.23,12.73,4.17,0.00,0.00,0.05,0.01,4.48,0.47,0.00,0.00,5.48,0.36,0.8609
speedbench / int4_genai (n=20),coding,sam_decoding,134.4494,11.7024,0.0000,0.9745,0.9801,0.0852,1.3517,0.1528,0.2977,0.0713,0.8731,0.2315,1.6213,0.1870,7.4868,0.5957,0.0000,0.4140,0.0943,0.6148,0.0925,16904.16,0.00,0.67,0.23,12.75,4.30,0.00,0.00,0.04,0.01,4.49,0.46,0.00,0.00,5.52,0.43,0.8609
speedbench / int4_genai (n=20),coding,stand,85.4159,5.1050,0.0000,0.6211,0.6229,0.0412,1.2208,0.0678,0.2150,0.0421,0.8363,0.1034,1.6578,0.0743,11.7467,0.6865,0.0000,0.2461,0.0561,0.4217,0.0647,16904.16,0.00,0.67,0.23,12.69,4.19,0.00,0.00,0.02,0.00,5.59,0.39,2.61,0.31,6.10,0.36,0.8706
speedbench / int4_genai (n=20),coding,asam,130.4483,11.0341,0.0000,0.9459,0.9507,0.0782,1.3161,0.1431,0.3831,0.0734,0.6147,0.1427,1.3822,0.0961,7.7133,0.5899,0.0000,0.4193,0.1018,0.6228,0.0965,16904.16,0.00,0.67,0.23,12.80,4.22,0.00,0.00,0.05,0.01,4.52,0.48,0.00,0.00,5.53,0.34,0.8609
speedbench / int4_genai (n=20),coding,asam_verify,121.4517,6.8085,0.0000,0.8834,0.8855,0.0536,1.2234,0.0829,0.4365,0.0997,0.4153,0.0941,1.2363,0.0708,8.2587,0.4663,0.0000,0.4375,0.0995,0.6475,0.0915,16904.16,0.00,0.67,0.23,12.68,4.22,0.00,0.00,0.04,0.01,4.57,0.47,0.00,0.00,5.48,0.30,0.8609
speedbench / int4_genai (n=20),coding,asd,130.6944,8.5258,0.0000,0.9497,0.9527,0.0620,1.3161,0.1431,0.3831,0.0734,0.6147,0.1427,1.3822,0.0961,7.6824,0.4977,0.0000,0.4193,0.1018,0.6228,0.0965,16904.16,0.00,0.67,0.23,12.87,4.12,0.00,0.00,0.04,0.01,4.51,0.51,0.00,0.00,5.52,0.45,0.8609
speedbench / int4_genai (n=20),coding,asd_verify,119.5087,7.8376,0.0000,0.8683,0.8712,0.0580,1.2239,0.0832,0.4309,0.1014,0.4241,0.1077,1.2447,0.0839,8.4027,0.5596,0.0000,0.4372,0.0994,0.6480,0.0917,16904.16,0.00,0.67,0.23,12.70,4.28,0.00,0.00,0.05,0.01,4.68,0.67,0.00,0.00,5.55,0.33,0.8609
